Collection,Plot,Treatment,Biomass_Herb_Mgha,Biomass_Shrub_Mgha,Biomass_Litter_Mgha,Biomass_Duff_Mgha,FWD_Mgha,CWD_Mgha
post-thin,1,control,0,0.675,6.60765,11.01275,1.249991977,2.7401724
post-thin,1,thin,10.0988,0.1125,9.911475,8.8102,0.797226315,9.245751771
post-thin,2,control,0,0.72,6.60765,3.303825,0.798413758,12.58242429
post-thin,2,thin,0.024,0.045,6.60765,7.708925,0.571148208,18.62198794
post-thin,3,control,0,0.225,9.911475,5.506375,0.684780983,14.31600274
post-thin,3,thin,0.04,0.72,7.708925,3.303825,1.474304647,10.19642383
post-thin,4,control,0,0.495,12.114025,8.8102,1.137546645,9.301673658
post-thin,4,thin,0.808,0.18,9.911475,11.01275,0.685374704,9.450798685
post-thin,5,control,0.008,1.422,15.41785,11.01275,0.797226315,12.60106491
post-thin,5,thin,0.008,0.0855,14.316575,2.20255,0.682999819,9.022064229
post-thin,6,control,0,0.18,11.01275,6.60765,1.02391387,39.64861697
post-thin,6,thin,0.34,0.054,12.114025,8.8102,0.231421599,21.54856663
post-thin,7,control,0,1.305,9.911475,8.8102,1.136952924,0
post-thin,7,thin,0.02,0.216,11.01275,8.8102,0.798413758,4.529672744
post-thin,8,control,0.42,0.81,14.316575,7.708925,0.682406097,20.18780074
post-thin,8,thin,0.024,0.153,7.708925,4.4051,1.588531143,16.25462811
post-thin,9,control,0,1.17,11.01275,3.303825,1.022726428,4.772000915
post-thin,9,thin,0.1,0.18,11.01275,6.60765,1.134578038,10.9606896
post-thin,10,control,0,0.27,14.316575,11.01275,0.00415605,0
post-thin,10,thin,0.11,0,11.01275,5.506375,1.137546645,13.64494011
post-thin,11,control,0.008,1.638,7.708925,6.60765,2.039515641,8.183235944
post-thin,11,thin,25.44,0.135,8.8102,4.4051,1.02391387,11.63175223
post-thin,12,control,0,0.585,12.114025,5.506375,0.569367044,6.766548171
post-thin,12,thin,4.18,0.108,13.2153,13.2153,0.569960765,6.766548171
pre-thin,1,control,11.4136,0,11.01275,2.20255,1.135765481,19.03472953
pre-thin,1,thin,14.13333334,0.315,11.01275,7.708925,1.25117942,29.52867878
pre-thin,2,control,2.389333333,0.495,11.01275,11.01275,2.498796511,19.97086377
pre-thin,2,thin,1.987733333,0.027,5.506375,8.8102,2.837335677,7.211700806
pre-thin,3,control,0.96,0.423,8.8102,5.506375,2.267968633,24.06211711
pre-thin,3,thin,1.6,0,8.8102,4.4051,2.491687582,19.00005789
pre-thin,4,control,5.4852,0,8.8102,5.506375,1.588531143,3.467163849
pre-thin,4,thin,17.4,0.27,8.8102,3.303825,0.798413758,4.437969727
pre-thin,5,control,1.38,0.99,8.8102,13.2153,1.702163918,39.29452361
pre-thin,5,thin,6.86,0.72,7.708925,9.911475,1.589124865,12.51646149
pre-thin,6,control,3,0.225,8.8102,7.708925,1.480819855,0
pre-thin,6,thin,9,0,13.2153,8.8102,2.04307797,0
pre-thin,7,control,11.204,1.08,7.708925,6.60765,0.914421418,11.54565562
pre-thin,7,thin,1.52,0.72,13.2153,5.506375,1.928835746,13.49882458
pre-thin,8,control,14.808,0.315,6.60765,3.303825,2.72251546,2.808402717
pre-thin,8,thin,0.332,1.17,8.8102,6.60765,1.706319968,16.78107303
pre-thin,9,control,3.4,0.54,7.708925,9.911475,1.703945082,3.467163849
pre-thin,9,thin,5.1292,0.99,13.2153,6.60765,1.701570196,18.58399823
pre-thin,10,control,1.9328,0.36,8.8102,6.60765,2.272124683,39.98795639
pre-thin,10,thin,0.36,0.72,13.2153,6.60765,2.378648529,4.195268256
pre-thin,11,control,2.042,0.495,8.8102,6.60765,0.121944875,10.67886466
pre-thin,11,thin,2,0.09,8.8102,17.6204,2.268562355,10.85222285
pre-thin,12,control,1,0.27,11.01275,6.60765,3.064007505,5.616805435
pre-thin,12,thin,3.68,0.315,6.60765,11.01275,2.608288964,2.218984863
